year,canton,diseasesGroup,diseases,species,count
2010,NW,Epidemics to be fought,Enzootic pneumonia of swine,Pig,1
2010,TG,Epidemics to be supervised,Neosporosis,Cattle,1
2010,GR,Epidemics to be supervised,Echinococcosis/hydatidosis,Dog,1
2010,VD,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,35
2010,BE,Epidemics to be supervised,Enzootic abortion of ewes,Goat,1
2010,BE,Epidemics to be supervised,Proliferative kidney disease,Fish,1
2010,BE,Epidemics to be supervised,Ovine pulmonary adenomatosis,Sheep,2
2010,GR,Epidemics to be supervised,Neosporosis,Cattle,1
2010,AG,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,4
2010,SG,Epidemics to be supervised,Listeriosis,Sheep,1
2010,ZH,Epidemics to be supervised,Cryptosporidiosis,Cattle,3
2010,NE,Epidemics to be fought,Salmonellosis,Cat,1
2010,GR,Epidemics to be fought,Avian chlamydiosis,Parrot,1
2010,VD,Epidemics to be fought,Swine actinobacillosis,Pig,1
2010,AR,Epidemics to be supervised,Enzootic abortion of ewes,Sheep,1
2010,TG,Epidemics to be fought,European foulbrood of honey bees,Bees,82
2010,BE,Epidemics to be supervised,Cryptosporidiosis,Dog,1
2010,VD,Epidemics to be fought,Paratuberculosis,Cattle,1
2010,VD,Epidemics to be fought,Salmonellosis,Cattle,3
2010,BE,Epidemics to be fought,Paratuberculosis,Cattle,1
2010,NW,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,2
2010,SZ,Epidemics to be fought,Salmonellosis,Cattle,1
2010,FR,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,78
2010,JU,Epidemics to be fought,Enzootic pneumonia of swine,Pig,2
2010,SO,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,1
2010,BE,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,9
2010,BE,Epidemics to be supervised,Pseudotuberculosis of sheep and goats,Goat,1
2010,FR,Epidemics to be supervised,Tularemia,Hare,1
2010,AI,Epidemics to be supervised,Varrosis of honey bees,Bees,1
2010,AI,Epidemics to be fought,Paratuberculosis,Cattle,2
2010,NE,Epidemics to be fought,Salmonellosis,Dog,1
2010,BE,Epidemics to be fought,European foulbrood of honey bees,Bees,498
